batch_id,policy,steps,runtime,total_trim_loss,remaining_stocks,used_stocks,avg_used_stock_area
1,First-Fit,31,4.934249639511108,11138,7,3,10269.333333333334
1,Best-Fit,31,17.052987575531006,8517,3,7,4026.714285714286
1,Combination,31,4.974934101104736,11138,7,3,10269.333333333334
2,First-Fit,23,3.319434642791748,6584,8,2,10790.0
2,Best-Fit,23,9.79219388961792,12649,2,8,3455.625
2,Combination,23,3.139732837677002,6584,8,2,10790.0
3,First-Fit,35,6.05750298500061,4729,8,2,12935.0
3,Best-Fit,35,22.388099193572998,4557,3,7,3671.1428571428573
3,Combination,34,5.701851844787598,13804,7,3,11648.333333333334
4,First-Fit,14,1.558109998703003,5204,8,2,6847.0
4,Best-Fit,14,4.96722412109375,6518,6,4,3752.0
4,Combination,14,1.636946201324463,5204,8,2,6847.0
5,First-Fit,17,2.070882797241211,8914,8,2,9990.5
5,Best-Fit,17,8.274105787277222,6151,6,4,4304.5
5,Combination,17,2.0460081100463867,8914,8,2,9990.5
6,First-Fit,15,1.6511223316192627,10528,9,1,18744.0
6,Best-Fit,15,8.187612056732178,4317,5,5,2506.6
6,Combination,15,1.792954683303833,10528,9,1,18744.0
7,First-Fit,27,4.459245204925537,3360,8,2,11410.0
7,Best-Fit,27,14.482237339019775,15092,3,7,4936.0
7,Combination,27,4.335304260253906,3360,8,2,11410.0
8,First-Fit,29,4.779853105545044,13512,8,2,15657.0
8,Best-Fit,29,22.01861047744751,5183,4,6,3830.8333333333335
8,Combination,29,4.466069936752319,13512,8,2,15657.0
9,First-Fit,16,1.9525055885314941,4045,9,1,14256.0
9,Best-Fit,16,8.533460855484009,4726,4,6,2489.5
9,Combination,16,1.978501558303833,4045,9,1,14256.0
10,First-Fit,24,3.384716033935547,8647,8,2,11971.0
10,Best-Fit,24,18.345678567886353,7917,4,6,3868.6666666666665
10,Combination,24,3.233227014541626,8647,8,2,11971.0
11,First-Fit,27,4.059847354888916,5621,8,2,11055.0
11,Best-Fit,27,11.927546262741089,10731,3,7,3888.5714285714284
11,Combination,27,3.9540927410125732,5621,8,2,11055.0
12,First-Fit,24,3.4989845752716064,4075,8,2,10341.5
12,Best-Fit,24,15.563732385635376,9232,5,5,5168.0
12,Combination,24,3.403127431869507,4075,8,2,10341.5
13,First-Fit,33,5.7085490226745605,12342,8,2,16045.0
13,Best-Fit,33,29.60737371444702,9699,5,5,5889.4
13,Combination,33,5.8525238037109375,12342,8,2,16045.0
14,First-Fit,29,4.556463003158569,10815,7,3,10432.333333333334
14,Best-Fit,29,18.016359329223633,5428,4,6,4318.333333333333
14,Combination,29,4.779912710189819,10815,7,3,10432.333333333334
15,First-Fit,33,4.770566701889038,4716,8,2,10570.5
15,Best-Fit,33,15.628396987915039,8954,3,7,3625.5714285714284
15,Combination,33,5.302865982055664,4716,8,2,10570.5
16,First-Fit,16,2.102653980255127,4483,9,1,14256.0
16,Best-Fit,16,13.126156330108643,3713,7,3,4495.333333333333
16,Combination,16,1.9395804405212402,4483,9,1,14256.0
17,First-Fit,17,1.9847755432128906,5301,9,1,15873.0
17,Best-Fit,17,15.303451299667358,6989,6,4,4390.25
17,Combination,17,2.0303761959075928,5301,9,1,15873.0
18,First-Fit,19,2.3853468894958496,9452,9,1,20294.0
18,Best-Fit,19,17.339718341827393,8006,5,5,3769.6
18,Combination,19,2.434485912322998,9452,9,1,20294.0
19,First-Fit,14,1.5328028202056885,3013,9,1,11920.0
19,Best-Fit,14,5.433521032333374,7848,4,6,2792.5
19,Combination,14,1.5604078769683838,3013,9,1,11920.0
20,First-Fit,30,4.739345073699951,13770,8,2,15759.0
20,Best-Fit,30,21.329142332077026,5618,5,5,4673.2
20,Combination,30,4.813138723373413,13770,8,2,15759.0
